interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-05-30 22:25:00 UTC,#Warriors,0.466,0.641,0.7717,4
2019-05-30 22:06:00 UTC,Stephen Curry,0.34,0.574,0.8074,2
2019-05-30 22:19:00 UTC,Fred VanVleet,0.5994,0.599,0.5994,1
2019-05-30 22:19:00 UTC,#NBAFinals,-0.296,0.396,0.8316,21
2019-05-30 22:30:00 UTC,#Game,-0.3818,0.337,0.7125,5
2019-05-30 22:17:00 UTC,Kawhi Leonard,0.2235,0.534,0.885,3
2019-05-30 22:29:00 UTC,Kyle Lowry,-0.5267,-0.527,-0.5267,1
2019-05-30 22:16:00 UTC,Quinn Cook,0.4939,0.494,0.4939,1
2019-05-30 22:22:00 UTC,NBA,-0.8091,0.276,0.92,110
2019-05-30 22:20:00 UTC,Warriors,-0.6972,0.466,0.9451,83
2019-05-30 22:20:00 UTC,Kevin Durant,-0.1531,0.179,0.5106,2
2019-05-30 22:11:00 UTC,#Team,-0.5411,-0.541,-0.5411,5
2019-05-30 22:04:00 UTC,DeMarcus Cousins,-0.1513,0.374,0.6249,18
2019-05-30 22:26:00 UTC,#Team,-0.5411,-0.504,-0.1008,12
2019-05-30 22:27:00 UTC,Toronto,-0.6249,0.276,0.7845,29
2019-05-30 22:30:00 UTC,NBA,-0.796,0.37,0.8625,183
2019-05-30 22:27:00 UTC,Kevin Durant,0.6765,0.676,0.6765,1
2019-05-30 22:21:00 UTC,Raptors,-0.6571,0.371,0.926,138
2019-05-30 22:32:00 UTC,#GoldenState,-0.6124,-0.051,0.5106,2
2019-05-30 22:05:00 UTC,Kyle Lowry,0.4404,0.44,0.4404,1
2019-05-30 22:12:00 UTC,Klay Thompson,0.5106,0.655,0.7269,3
2019-05-30 22:04:00 UTC,#Game,0.5207,0.596,0.6705,2
2019-05-30 22:12:00 UTC,Kyle Lowry,0.5994,0.599,0.5994,1
2019-05-30 22:22:00 UTC,Stephen Curry,0.34,0.441,0.5423,2
2019-05-30 22:06:00 UTC,Raptors,-0.8225,0.367,0.9259,92
2019-05-30 22:05:00 UTC,Toronto,-0.8527,0.314,0.8491,42
2019-05-30 22:13:00 UTC,NBA Finals,-0.6917,0.247,0.9006,17
2019-05-30 22:13:00 UTC,#DubNation,0.1007,0.359,0.5719,4
2019-05-30 22:17:00 UTC,#NBAFinals,-0.5067,0.463,0.8126,34
2019-05-30 22:26:00 UTC,#Basket,-0.516,0.325,0.7579,3
