interval_start,entity,low_senti,avg_senti,high_senti,num_datapoints
2019-06-03 01:11:00 UTC,Jonas Jerebko,-0.296,0.224,0.5096,3
2019-06-03 00:38:00 UTC,#StephCurry,-0.5972,-0.597,-0.5972,1
2019-06-03 01:13:00 UTC,Alfonzo McKinnie,-0.34,-0.34,-0.34,1
2019-06-03 00:58:00 UTC,#StephCurry,0.6249,0.625,0.6249,1
2019-06-03 00:40:00 UTC,Serge Ibaka,0.4404,0.44,0.4404,1
2019-06-03 01:14:00 UTC,Jonas Jerebko,-0.4019,-0.348,-0.2942,2
2019-06-03 00:15:00 UTC,#Hoops,0.2023,0.202,0.2023,1
2019-06-03 01:03:00 UTC,#StephCurry,0.8807,0.881,0.8807,1
2019-06-03 01:02:00 UTC,#KevinDurant,0.2732,0.273,0.2732,1
2019-06-03 01:10:00 UTC,#Player,0.9118,0.912,0.9118,1
2019-06-03 01:07:00 UTC,Serge Ibaka,-0.561,-0.561,-0.561,1
2019-06-03 01:07:00 UTC,Jonas Jerebko,-0.0516,-0.052,-0.0516,1
2019-06-03 00:26:00 UTC,Alfonzo McKinnie,0.5267,0.527,0.5267,1
2019-06-03 00:43:00 UTC,Nav Bhatia,0.6369,0.637,0.6369,1
2019-06-03 00:37:00 UTC,Serge Ibaka,-0.34,-0.34,-0.34,1
2019-06-03 00:39:00 UTC,Serge Ibaka,-0.5423,-0.181,0.25,3
2019-06-03 01:08:00 UTC,Jordan Bell,0.4215,0.421,0.4215,1
2019-06-03 01:12:00 UTC,Damion Lee,-0.4404,-0.44,-0.4404,1
2019-06-03 00:09:00 UTC,Jeremy Lin,0.7717,0.772,0.7717,1
2019-06-03 02:12:00 UTC,Serge Ibaka,-0.6696,0.062,0.4939,3
2019-06-03 01:28:00 UTC,#KevinDurant,0.4199,0.42,0.4199,1
2019-06-03 02:11:00 UTC,Serge Ibaka,-0.6369,-0.21,0.2177,2
2019-06-03 01:26:00 UTC,Jordan Bell,-0.4585,-0.459,-0.4585,1
2019-06-03 01:53:00 UTC,Jeremy Lin,0.34,0.34,0.34,1
2019-06-03 01:46:00 UTC,Jeremy Lin,-0.1779,-0.178,-0.1779,1
2019-06-03 01:19:00 UTC,Jordan Bell,0.8074,0.807,0.8074,1
2019-06-03 01:16:00 UTC,Jeremy Lin,0.807,0.807,0.807,1
2019-06-03 02:23:00 UTC,Jeremy Lin,0.5106,0.548,0.5859,2
2019-06-03 01:20:00 UTC,Jonas Jerebko,-0.2942,-0.294,-0.2942,1
2019-06-03 01:36:00 UTC,#KevinDurant,0.296,0.296,0.296,1
2019-06-03 02:02:00 UTC,Nav Bhatia,0.5859,0.586,0.5859,1
2019-06-03 02:19:00 UTC,#StephCurry,0.0237,0.024,0.0237,1
2019-06-03 02:09:00 UTC,Serge Ibaka,-0.4215,-0.185,0.0516,2
2019-06-03 01:53:00 UTC,Jordan Bell,0.05,0.05,0.05,1
2019-06-03 02:03:00 UTC,Serge Ibaka,-0.5574,-0.557,-0.5574,1
2019-06-03 01:23:00 UTC,Nav Bhatia,0.3182,0.318,0.3182,1
2019-06-03 02:15:00 UTC,Jonas Jerebko,0.5859,0.586,0.5859,1
2019-06-03 01:54:00 UTC,Jordan Bell,0.2732,0.273,0.2732,1
2019-06-03 01:40:00 UTC,#StephCurry,-0.2411,-0.241,-0.2411,1
2019-06-03 02:06:00 UTC,#StephCurry,0.6705,0.67,0.6705,1
2019-06-03 01:52:00 UTC,Jordan Bell,0.0708,0.246,0.4215,2
2019-06-03 01:59:00 UTC,Nav Bhatia,0.6597,0.66,0.6597,1
2019-06-03 01:31:00 UTC,Jonas Jerebko,0.5096,0.534,0.5574,2
2019-06-03 02:18:00 UTC,Serge Ibaka,0.34,0.466,0.5927,2
2019-06-03 01:25:00 UTC,#StephCurry,-0.7256,0.009,0.743,2
2019-06-03 01:20:00 UTC,#Hoops,0.4376,0.438,0.4376,1
2019-06-03 01:21:00 UTC,Jeremy Lin,-0.3182,-0.318,-0.3182,1
2019-06-03 02:23:00 UTC,Serge Ibaka,-0.561,-0.428,-0.296,2
2019-06-03 01:19:00 UTC,Jonas Jerebko,-0.2942,-0.294,-0.2942,1
2019-06-03 02:02:00 UTC,Serge Ibaka,-0.5574,-0.557,-0.5574,1
2019-06-03 01:52:00 UTC,Serge Ibaka,0.2023,0.202,0.2023,1
2019-06-03 02:01:00 UTC,Alfonzo McKinnie,-0.6956,-0.696,-0.6956,1
2019-06-03 01:49:00 UTC,Jeremy Lin,-0.34,-0.34,-0.34,1
2019-06-03 01:31:00 UTC,#Player,0.9118,0.912,0.9118,1
2019-06-03 01:27:00 UTC,#StephCurry,0.811,0.811,0.811,1
2019-06-03 01:35:00 UTC,Jonas Jerebko,-0.4215,-0.421,-0.4215,1
2019-06-03 01:38:00 UTC,#KevinDurant,-0.7003,-0.7,-0.7003,1
2019-06-03 01:18:00 UTC,Eric Moreland,0.765,0.765,0.765,1
2019-06-03 01:35:00 UTC,#KevinDurant,0.25,0.25,0.25,1
2019-06-03 01:22:00 UTC,Jordan Bell,-0.466,-0.466,-0.466,1
2019-06-03 01:41:00 UTC,Jonas Jerebko,-0.2942,-0.294,-0.2942,1
2019-06-03 02:00:00 UTC,Serge Ibaka,-0.6908,-0.691,-0.6908,1
2019-06-03 01:23:00 UTC,Jeremy Lin,0.3382,0.338,0.3382,1
2019-06-03 01:23:00 UTC,Jordan Bell,-0.4585,-0.459,-0.4585,1
2019-06-03 01:43:00 UTC,#StephCurry,0.2732,0.273,0.2732,1
2019-06-03 02:14:00 UTC,Serge Ibaka,-0.5067,-0.507,-0.5067,1
2019-06-03 01:32:00 UTC,Nav Bhatia,0.4767,0.477,0.4767,1
2019-06-03 01:29:00 UTC,#KevinDurant,0.6908,0.691,0.6908,1
2019-06-03 02:21:00 UTC,Jeremy Lin,0.5859,0.586,0.5859,1
2019-06-03 01:26:00 UTC,Jonas Jerebko,-0.2942,-0.294,-0.2942,1
2019-06-03 02:19:00 UTC,#Player,-0.6597,-0.66,-0.6597,1
2019-06-03 01:58:00 UTC,#StephCurry,0.6486,0.649,0.6486,1
2019-06-03 01:29:00 UTC,#StephCurry,0.4019,0.402,0.4019,1
2019-06-03 01:18:00 UTC,Jordan Bell,0.8074,0.807,0.8074,1
2019-06-03 02:10:00 UTC,Serge Ibaka,-0.0107,-0.011,-0.0107,1
2019-06-03 02:15:00 UTC,Alfonzo McKinnie,0.3182,0.318,0.3182,1
2019-06-03 01:25:00 UTC,#KevinDurant,0.5267,0.527,0.5267,1
2019-06-03 02:23:00 UTC,Nav Bhatia,0.6249,0.625,0.6249,1
2019-06-03 01:19:00 UTC,#StephCurry,-0.3818,-0.382,-0.3818,1
2019-06-03 01:27:00 UTC,#KevinDurant,-0.6652,-0.665,-0.6652,2
2019-06-03 01:54:00 UTC,Serge Ibaka,-0.3818,-0.382,-0.3818,1
2019-06-03 01:40:00 UTC,Jordan Bell,-0.4585,-0.07,0.3182,2
2019-06-03 01:27:00 UTC,Jordan Bell,-0.4585,-0.459,-0.4585,1
2019-06-03 01:57:00 UTC,Alfonzo McKinnie,-0.5423,-0.542,-0.5423,1
2019-06-03 01:56:00 UTC,Jordan Bell,-0.34,-0.34,-0.34,1
2019-06-03 01:28:00 UTC,#StephCurry,-0.4817,-0.482,-0.4817,1
2019-06-03 01:26:00 UTC,#KevinDurant,-0.296,-0.296,-0.296,1
2019-06-03 02:16:00 UTC,Jordan Bell,0.3612,0.361,0.3612,1
2019-06-03 02:08:00 UTC,#StephCurry,0.5826,0.583,0.5826,1
2019-06-03 02:19:00 UTC,Serge Ibaka,-0.34,0.258,0.5574,3
2019-06-03 02:02:00 UTC,#Player,0.9118,0.912,0.9118,1
2019-06-03 01:41:00 UTC,#KevinDurant,0.3182,0.318,0.3182,1
2019-06-03 01:21:00 UTC,#KevinDurant,-0.0516,-0.052,-0.0516,1
2019-06-03 01:31:00 UTC,#StephCurry,0.4019,0.513,0.6239,2
2019-06-03 01:33:00 UTC,#Dunk,-0.3612,-0.361,-0.3612,1
2019-06-03 01:32:00 UTC,Jonas Jerebko,-0.2942,0.258,0.5574,3
2019-06-03 01:25:00 UTC,Jordan Bell,-0.4585,-0.459,-0.4585,3
2019-06-03 01:19:00 UTC,Jeremy Lin,-0.0516,-0.052,-0.0516,1
2019-06-03 02:00:00 UTC,Nav Bhatia,0.3818,0.402,0.4215,2
2019-06-03 02:19:00 UTC,Jeremy Lin,-0.296,-0.296,-0.296,1
2019-06-03 02:21:00 UTC,Serge Ibaka,0.5574,0.557,0.5574,1
2019-06-03 01:38:00 UTC,Jacob Evans,0.3887,0.389,0.3887,1
2019-06-03 02:01:00 UTC,Jodie Meeks,0.2869,0.287,0.2869,1
2019-06-03 01:37:00 UTC,Nav Bhatia,0.6597,0.66,0.6597,1
2019-06-03 02:09:00 UTC,Jeremy Lin,0.2023,0.202,0.2023,1
2019-06-03 01:54:00 UTC,#Player,0.9118,0.912,0.9118,1
2019-06-03 02:16:00 UTC,Jonas Jerebko,-0.2942,-0.294,-0.2942,1
2019-06-03 01:58:00 UTC,#Player,0.9436,0.944,0.9436,1
2019-06-03 01:58:00 UTC,Serge Ibaka,0.5043,0.504,0.5043,1
2019-06-03 01:18:00 UTC,Jeremy Lin,0.5994,0.599,0.5994,1
2019-06-03 02:07:00 UTC,Nav Bhatia,-0.6072,-0.607,-0.6072,1
2019-06-03 01:17:00 UTC,Jonas Jerebko,0.6124,0.612,0.6124,1
2019-06-03 01:33:00 UTC,Jordan Bell,-0.4585,-0.459,-0.4585,1
2019-06-03 02:22:00 UTC,#KevinDurant,0.4215,0.421,0.4215,1
2019-06-03 01:39:00 UTC,Eric Moreland,0.6597,0.66,0.6597,1
2019-06-03 01:24:00 UTC,#KevinDurant,0.7263,0.726,0.7263,1
2019-06-03 01:49:00 UTC,Serge Ibaka,0.743,0.743,0.743,1
2019-06-03 02:13:00 UTC,Jordan Bell,0.3612,0.487,0.6124,2
2019-06-03 02:20:00 UTC,Serge Ibaka,-0.6293,-0.629,-0.6293,1
2019-06-03 02:05:00 UTC,Marcus Derrickson,0.4927,0.493,0.4927,1
2019-06-03 01:55:00 UTC,Jordan Bell,0.128,0.128,0.128,1
2019-06-03 01:55:00 UTC,Serge Ibaka,-0.5267,-0.484,-0.4404,2
2019-06-03 01:42:00 UTC,#Player,0.9169,0.917,0.9169,1
2019-06-03 02:17:00 UTC,Jonas Jerebko,-0.2942,-0.294,-0.2942,1
2019-06-03 01:39:00 UTC,Jeremy Lin,0.34,0.34,0.34,1
2019-06-03 02:24:00 UTC,Jordan Bell,0.5859,0.586,0.5859,1
2019-06-03 02:01:00 UTC,Serge Ibaka,0.6369,0.637,0.6369,1
2019-06-03 02:05:00 UTC,#Player,0.8519,0.852,0.8519,1
2019-06-03 01:35:00 UTC,#StephCurry,0.6239,0.624,0.6239,1
2019-06-03 02:12:00 UTC,Jeremy Lin,0.5859,0.586,0.5859,1
2019-06-03 01:29:00 UTC,Jonas Jerebko,0.128,0.128,0.128,1
2019-06-03 01:32:00 UTC,Jordan Bell,0.6597,0.66,0.6597,1
2019-06-03 01:52:00 UTC,#StephCurry,0.6239,0.624,0.6239,1
2019-06-03 01:30:00 UTC,#StephCurry,0.6239,0.654,0.743,4
2019-06-03 01:42:00 UTC,Jonas Jerebko,0.5574,0.557,0.5574,1
2019-06-03 01:58:00 UTC,Jeremy Lin,0.4824,0.482,0.4824,1
2019-06-03 02:13:00 UTC,Serge Ibaka,-0.5859,0.022,0.5972,5
2019-06-03 01:39:00 UTC,Jacob Evans,0.3887,0.389,0.3887,1
2019-06-03 01:39:00 UTC,Nav Bhatia,0.3182,0.318,0.3182,1
2019-06-03 02:05:00 UTC,Jeremy Lin,0.34,0.34,0.34,1
2019-06-03 01:56:00 UTC,Jeremy Lin,0.1531,0.153,0.1531,1
2019-06-03 01:25:00 UTC,Nav Bhatia,0.4767,0.477,0.4767,1
2019-06-03 01:25:00 UTC,Jeremy Lin,0.5859,0.586,0.5859,1
2019-06-03 01:56:00 UTC,Serge Ibaka,-0.4588,-0.187,0.3182,3
2019-06-03 01:42:00 UTC,#StephCurry,-0.2411,-0.241,-0.2411,1
2019-06-03 01:27:00 UTC,Jonas Jerebko,0.6124,0.612,0.6124,1
2019-06-03 01:16:00 UTC,Jonas Jerebko,-0.4215,-0.421,-0.4215,1
2019-06-03 01:44:00 UTC,Damian Jones,0.34,0.34,0.34,1
2019-06-03 01:32:00 UTC,#Player,0.9118,0.912,0.9118,1
2019-06-03 02:24:00 UTC,Serge Ibaka,0.5574,0.557,0.5574,1
2019-06-03 02:06:00 UTC,Jeremy Lin,-0.4574,-0.457,-0.4574,1
2019-06-03 01:44:00 UTC,Damion Lee,0.34,0.34,0.34,1
2019-06-03 01:39:00 UTC,#StephCurry,0.6239,0.624,0.6239,1
2019-06-03 02:03:00 UTC,#StephCurry,0.2023,0.42,0.6369,2
2019-06-03 01:36:00 UTC,Nav Bhatia,-0.296,-0.296,-0.296,1
2019-06-03 01:44:00 UTC,Jeremy Lin,-0.7003,-0.7,-0.7003,1
